2026/07/09 08:36:47 [notice] 1#1: using the "epoll" event method
2026/07/09 08:36:47 [notice] 1#1: nginx/1.24.0
2026/07/09 08:36:47 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2026/07/09 08:36:47 [notice] 1#1: OS: Linux 4.19.90-89.11.v2401.ky10.x86_64
2026/07/09 08:36:47 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1073741816:1073741816
2026/07/09 08:36:47 [notice] 1#1: start worker processes
2026/07/09 08:36:47 [notice] 1#1: start worker process 165
2026/07/09 08:36:47 [notice] 1#1: start worker process 166
2026/07/09 08:36:47 [notice] 1#1: start worker process 167
2026/07/09 08:36:47 [notice] 1#1: start worker process 168
2026/07/09 08:36:47 [notice] 1#1: start worker process 169
2026/07/09 08:36:47 [notice] 1#1: start worker process 170
2026/07/09 08:36:47 [notice] 1#1: start worker process 171
2026/07/09 08:36:47 [notice] 1#1: start worker process 172
2026/07/09 08:36:47 [notice] 1#1: start worker process 173
2026/07/09 08:36:47 [notice] 1#1: start worker process 174
2026/07/09 08:36:47 [notice] 1#1: start worker process 175
2026/07/09 08:36:47 [notice] 1#1: start worker process 176
2026/07/09 08:36:47 [notice] 1#1: start worker process 177
2026/07/09 08:36:47 [notice] 1#1: start worker process 178
2026/07/09 08:36:47 [notice] 1#1: start worker process 179
2026/07/09 08:36:47 [notice] 1#1: start worker process 180
2026/07/09 08:36:47 [notice] 1#1: start worker process 181
2026/07/09 08:36:47 [notice] 1#1: start worker process 182
2026/07/09 08:36:47 [notice] 1#1: start worker process 183
2026/07/09 08:36:47 [notice] 1#1: start worker process 184
2026/07/09 08:36:47 [notice] 1#1: start worker process 185
2026/07/09 08:36:47 [notice] 1#1: start worker process 186
2026/07/09 08:36:47 [notice] 1#1: start worker process 187
2026/07/09 08:36:47 [notice] 1#1: start worker process 188
2026/07/09 08:36:47 [notice] 1#1: start worker process 189
2026/07/09 08:36:47 [notice] 1#1: start worker process 190
2026/07/09 08:36:47 [notice] 1#1: start worker process 191
2026/07/09 08:36:47 [notice] 1#1: start worker process 192
2026/07/09 08:36:47 [notice] 1#1: start worker process 193
2026/07/09 08:36:47 [notice] 1#1: start worker process 194
2026/07/09 08:36:47 [notice] 1#1: start worker process 195
2026/07/09 08:36:47 [notice] 1#1: start worker process 196
2026/07/09 08:36:47 [notice] 1#1: start worker process 197
2026/07/09 08:36:47 [notice] 1#1: start worker process 198
2026/07/09 08:36:47 [notice] 1#1: start worker process 199
2026/07/09 08:36:47 [notice] 1#1: start worker process 200
2026/07/09 08:36:47 [notice] 1#1: start worker process 201
2026/07/09 08:36:47 [notice] 1#1: start worker process 202
2026/07/09 08:36:47 [notice] 1#1: start worker process 203
2026/07/09 08:36:47 [notice] 1#1: start worker process 204
2026/07/09 08:36:47 [notice] 1#1: start worker process 205
2026/07/09 08:36:47 [notice] 1#1: start worker process 206
2026/07/09 08:36:47 [notice] 1#1: start worker process 207
2026/07/09 08:36:47 [notice] 1#1: start worker process 208
2026/07/09 08:36:47 [notice] 1#1: start worker process 209
2026/07/09 08:36:47 [notice] 1#1: start worker process 210
2026/07/09 08:36:47 [notice] 1#1: start worker process 211
2026/07/09 08:36:47 [notice] 1#1: start worker process 212
2026/07/09 08:36:47 [notice] 1#1: start worker process 213
2026/07/09 08:36:47 [notice] 1#1: start worker process 214
2026/07/09 08:36:47 [notice] 1#1: start worker process 215
2026/07/09 08:36:47 [notice] 1#1: start worker process 216
2026/07/09 08:36:47 [notice] 1#1: start worker process 217
2026/07/09 08:36:47 [notice] 1#1: start worker process 218
2026/07/09 08:36:47 [notice] 1#1: start worker process 219
2026/07/09 08:36:47 [notice] 1#1: start worker process 220
2026/07/09 08:36:47 [notice] 1#1: start worker process 221
2026/07/09 08:36:47 [notice] 1#1: start worker process 222
2026/07/09 08:36:47 [notice] 1#1: start worker process 223
2026/07/09 08:36:47 [notice] 1#1: start worker process 224
2026/07/09 08:36:47 [notice] 1#1: start worker process 225
2026/07/09 08:36:47 [notice] 1#1: start worker process 226
2026/07/09 08:36:47 [notice] 1#1: start worker process 227
2026/07/09 08:36:47 [notice] 1#1: start worker process 228
2026/07/09 08:36:47 [notice] 1#1: start worker process 229
2026/07/09 08:36:47 [notice] 1#1: start worker process 230
2026/07/09 08:36:47 [notice] 1#1: start worker process 231
2026/07/09 08:36:47 [notice] 1#1: start worker process 232
2026/07/09 08:36:47 [notice] 1#1: start worker process 233
2026/07/09 08:36:47 [notice] 1#1: start worker process 234
2026/07/09 08:36:47 [notice] 1#1: start worker process 235
2026/07/09 08:36:47 [notice] 1#1: start worker process 236
2026/07/09 08:36:47 [notice] 1#1: start worker process 237
2026/07/09 08:36:47 [notice] 1#1: start worker process 238
2026/07/09 08:36:47 [notice] 1#1: start worker process 239
2026/07/09 08:36:47 [notice] 1#1: start worker process 240
2026/07/09 08:36:47 [notice] 1#1: start worker process 241
2026/07/09 08:36:47 [notice] 1#1: start worker process 242
2026/07/09 08:36:47 [notice] 1#1: start worker process 243
2026/07/09 08:36:47 [notice] 1#1: start worker process 244
2026/07/09 08:36:47 [notice] 1#1: start worker process 245
2026/07/09 08:36:47 [notice] 1#1: start worker process 246
2026/07/09 08:36:47 [notice] 1#1: start worker process 247
2026/07/09 08:36:47 [notice] 1#1: start worker process 248
2026/07/09 08:36:47 [notice] 1#1: start worker process 249
2026/07/09 08:36:47 [notice] 1#1: start worker process 250
2026/07/09 08:36:47 [notice] 1#1: start worker process 251
2026/07/09 08:36:47 [notice] 1#1: start worker process 252
2026/07/09 08:36:47 [notice] 1#1: start worker process 253
2026/07/09 08:36:47 [notice] 1#1: start worker process 254
2026/07/09 08:36:47 [notice] 1#1: start worker process 255
2026/07/09 08:36:47 [notice] 1#1: start worker process 256
2026/07/09 08:36:47 [notice] 1#1: start worker process 257
2026/07/09 08:36:47 [notice] 1#1: start worker process 258
2026/07/09 08:36:47 [notice] 1#1: start worker process 259
2026/07/09 08:36:47 [notice] 1#1: start worker process 260
2026/07/09 08:36:47 [notice] 1#1: start worker process 261
2026/07/09 08:36:47 [notice] 1#1: start worker process 262
2026/07/09 08:36:47 [notice] 1#1: start worker process 263
2026/07/09 08:36:47 [notice] 1#1: start worker process 264
2026/07/09 08:36:47 [notice] 1#1: start worker process 265
2026/07/09 08:36:47 [notice] 1#1: start worker process 266
2026/07/09 08:36:47 [notice] 1#1: start worker process 267
2026/07/09 08:36:47 [notice] 1#1: start worker process 268
2026/07/09 08:36:47 [notice] 1#1: start worker process 269
2026/07/09 08:36:47 [notice] 1#1: start worker process 270
2026/07/09 08:36:47 [notice] 1#1: start worker process 271
2026/07/09 08:36:47 [notice] 1#1: start worker process 272
2026/07/09 08:36:47 [notice] 1#1: start worker process 273
2026/07/09 08:36:47 [notice] 1#1: start worker process 274
2026/07/09 08:36:47 [notice] 1#1: start worker process 275
2026/07/09 08:36:47 [notice] 1#1: start worker process 276
2026/07/09 08:36:47 [notice] 1#1: start worker process 277
2026/07/09 08:36:47 [notice] 1#1: start worker process 278
2026/07/09 08:36:47 [notice] 1#1: start worker process 279
2026/07/09 08:36:47 [notice] 1#1: start worker process 280
2026/07/09 08:36:47 [notice] 1#1: start worker process 281
2026/07/09 08:36:47 [notice] 1#1: start worker process 282
2026/07/09 08:36:47 [notice] 1#1: start worker process 283
2026/07/09 08:37:05 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:05 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:05 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:05 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:07 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:08 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:08 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:08 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:08 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 29#29: *1 open() "/etc/nginx/html/assets/index.50afdf98.css" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 29#29: *1 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.50afdf98.css HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 31#31: *2 open() "/etc/nginx/html/assets/index.b8671fce.js" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
2026/07/09 08:37:09 [error] 31#31: *2 open() "/usr/share/nginx/html/404.html" failed (2: No such file or directory), client: 192.168.100.222, server: localhost, request: "GET /assets/index.b8671fce.js HTTP/1.1", host: "192.168.100.67:3001", referrer: "http://192.168.100.67:3001/"
